Address,Status,Indexability,Title 1
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2019/responsible-sustainable-business-2019/csr-vision-framework-2019.html,OK,Indexable,EDC’s 2019 corporate social responsibility vision and framework | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2019/responsible-sustainable-business-2019/disclosure-and-transparency-2019.html,OK,Indexable,EDC’s disclosure and transparency efforts in 2019 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2019/responsible-sustainable-business-2019/engaging-with-stakeholders-2019.html,OK,Indexable,How EDC worked with its stakeholders in 2019 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2019/responsible-sustainable-business-2019/human-rights-disclosure-2019.html,OK,Indexable,EDC’s human rights efforts in 2019 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2019/responsible-sustainable-business-2019/prioritizing-risk-management-2019.html,OK,Indexable,EDC’s risk management work in 2019 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2019/responsible-sustainable-business-2019/promoting-business-integrity-2019.html,OK,Indexable,How EDC promoted business integrity in 2019 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2019/responsible-sustainable-business-2019/protecting-environment-people-2019.html,OK,Indexable,How EDC protected people and the environment in 2019 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2019/responsible-sustainable-business-2019/strengthen-communities-2019.html,OK,Indexable,How EDC gave back in 2019 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2020.html,OK,Indexable,Export Development Canada Annual Report 2020 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2020/chair-message.html,OK,Indexable,Board Chair message Annual Report 2020 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2020/highlights.html,OK,Indexable,Highlights Annual Report 2020 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2020/president-ceo-message.html,OK,Indexable,President and CEO message Annual Report 2020 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2020/senior-vp-sustainable-business-message.html,OK,Indexable,Senior VP Sustainable Business Message Annual Report 2020 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2020/standing-up-champion-people-planet.html,OK,Indexable,EDC champions people and the planet  | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2020/stepping-up-supporting-canadian-business.html,OK,Indexable,Supporting Canadian business domestically and abroad | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2021.html,OK,Indexable,Export Development Canada Annual Report 2021 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2021/chair-message.html,OK,Indexable,Board Chair message Annual Report 2021 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2021/chief-corporate-sustainability-officer-message.html,OK,Indexable,Chief Corporate Sustainability Officer message Annual Report 2021 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2021/customers-first.html,OK,Indexable,Customers first Annual Report 2021 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2021/future-focused.html,OK,Indexable,Future focused Annual Report 2021 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2021/performance.html,OK,Indexable,Performance Annual Report 2021 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2021/president-ceo-message.html,OK,Indexable,President and CEO message Annual Report 2021 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2021/values-led.html,OK,Indexable,Values led Annual Report 2021 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2022.html,OK,Indexable,Export Development Canada Annual Report 2022 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2022/accelerating-success.html,OK,Indexable,Accelerating success Annual Report 2022 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2022/chair-message.html,OK,Indexable,Message from the chair Annual Report 2022 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2022/chief-sustainability-officer-message.html,OK,Indexable,Q&A with the chief sustainability officer | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2022/economy-of-the-future.html,OK,Indexable,Economy of the future Annual Report 2022 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2022/embedding-esg.html,OK,Indexable,Embedding ESG Report 2022 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2022/performance.html,OK,Indexable,Performance Annual Report 2022 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2022/president-ceo-message.html,OK,Indexable,President and CEO message Annual Report 2022 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2023.html,OK,Non-Indexable,2023 Integrated Annual Report | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2023/board-chair-message.html,OK,Non-Indexable,Board Chair message − Annual Report 2023 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2023/chief-risk-sustainability-officer-message.html,OK,Non-Indexable,Chief Risk and Sustainability Officer message − Annual Report 2023 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2023/inclusion.html,OK,Non-Indexable,Inclusion − Annual Report 2023 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2023/passion-for-customers.html,OK,Non-Indexable,Passion for customers − Annual Report 2023 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2023/performance.html,OK,Non-Indexable,Performance − Annual Report 2023 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2023/president-ceo-message.html,OK,Non-Indexable,President and CEO message − Annual Report 2023 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2023/sustainability.html,OK,Non-Indexable,Sustainability  − Annual Report 2023 | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2024.html,OK,Non-Indexable,2024 Annual Report | EDC
https://www.edc.ca/en/about-us/corporate-governance/transparency-disclosure/annual-report/2025.html,OK,Indexable,2025 Annual Report | EDC
https://www.edc.ca/en/about-us/corporate.html,Found,Non-Indexable,
https://www.edc.ca/en/about-us/corporate/disclosure.html,OK,Indexable,Transparency and disclosure | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/access-information-privacy.html,OK,Indexable,Access to Information and Privacy | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/info-source.html,OK,Indexable,Welcome to Info Source | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/public-queries.html,OK,Indexable,EDC responds to public queries | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/public-servants-disclosure-protection-act.html,OK,Indexable,Public Servants Disclosure Protection Act | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions.html,OK,Indexable,Reporting on transactions | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canada-account.html,OK,Indexable,Canada Account | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2013.html,OK,Indexable,Aggregate Business Volume by Sector 2013 | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2014.html,OK,Indexable,Aggregate Business Volume by Sector 2014 | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2015.html,OK,Indexable,Aggregate Business Volume by Sector 2015 | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2016.html,OK,Indexable,Aggregate Business Volume by Sector 2016 | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2017.html,OK,Indexable,Aggregate Business Volume by Sector 2017 | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2018.html,OK,Indexable,Aggregate Business Volume by Sector 2018 | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2019.html,OK,Indexable,Aggregate Business Volume by Sector 2019 | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2020.html,OK,Indexable,Aggregate Business Volume by Sector 2020 | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2021.html,OK,Indexable,Aggregate Business Volume by Sector 2021 | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2022.html,OK,Indexable,Aggregate Business Volume by Sector 2022 | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2023.html,OK,Indexable,Canadian industry sectors 2023 | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2024.html,OK,Indexable,Canadian industry sectors 2024 | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2025.html,OK,Indexable,Canadian industry sectors 2025 | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-volume.html,OK,Indexable,Business Facilitated by Region (Canada) | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/category-a-prior.html,OK,Indexable,Category A projects where prior disclosure was less than 30 days | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/category-a.html,OK,Indexable,Category A Projects under consideration | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/heavily-indebted-countries.html,OK,Indexable,Heavily Indebted Poor Countries | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/historic-individual-transactions.html,OK,Indexable,Historical Individual Transaction Information | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/individual-transaction-information.html,OK,Indexable,Individual transaction information | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/regional-volume.html,OK,Indexable,Business Facilitated by Region (International) | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/signed-category-a-after-november-2010.html,OK,Indexable,"Signed Category A projects after November 1, 2010"
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/signed-category-a-prior-november-2010.html,OK,Indexable,"Signed Category A Projects prior to November 1, 2010 | EDC"
https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/signed-category-b.html,OK,Indexable,Signed Category B Projects | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/travel-hospitality-expenses.html,OK,Indexable,Travel and Hospitality | EDC
https://www.edc.ca/en/about-us/corporate/disclosure/travel-hospitality-expenses/historic-travel-hospitality-expenses.html,OK,Indexable,Historical Travel and Hospitality Expenses | EDC
https://www.edc.ca/en/about-us/corporate/findev-development-finance-institution.html,OK,Indexable,Development Finance Institution - FinDev Canada | EDC
https://www.edc.ca/en/about-us/corporate/management-governance.html,OK,Indexable,Management and governance | EDC
https://www.edc.ca/en/about-us/corporate/management-governance/audits.html,OK,Indexable,Audits | EDC
https://www.edc.ca/en/about-us/corporate/management-governance/disclosure-of-wrongdoing.html,OK,Indexable,Disclosure of wrongdoing | EDC
https://www.edc.ca/en/about-us/corporate/procurement.html,OK,Indexable,For suppliers | EDC
https://www.edc.ca/en/about-us/esg.html,OK,Indexable,ESG at EDC | EDC
https://www.edc.ca/en/about-us/esg/agreements-memberships.html,OK,Indexable,Agreements and memberships | EDC
https://www.edc.ca/en/about-us/esg/environment.html,OK,Indexable,Environment | EDC
https://www.edc.ca/en/about-us/esg/environment/net-zero.html,OK,Indexable,Net zero | EDC
https://www.edc.ca/en/about-us/esg/environment/operational-footprint.html,OK,Indexable,Operational footprint | EDC
https://www.edc.ca/en/about-us/esg/environment/priority-sectors.html,OK,Indexable,Priority sectors | EDC
https://www.edc.ca/en/about-us/esg/equator-principles.html,OK,Indexable,Equator Principles | EDC
https://www.edc.ca/en/about-us/esg/esg-governance.html,OK,Indexable,ESG Governance | EDC
https://www.edc.ca/en/about-us/esg/esg-governance/business-integrity.html,OK,Indexable,Business integrity | EDC
https://www.edc.ca/en/about-us/esg/esg-governance/esg-advisory-council.html,OK,Indexable,ESG Advisory Council | EDC
https://www.edc.ca/en/about-us/esg/esg-governance/policies-and-reports.html,OK,Indexable,Policies and reports | EDC
https://www.edc.ca/en/about-us/esg/esg-governance/stakeholder-engagement.html,OK,Indexable,Stakeholder engagement | EDC
https://www.edc.ca/en/about-us/esg/esg-governance/stakeholder-engagement/policy-review-feedback.html,OK,Indexable,Policy review feedback | EDC
https://www.edc.ca/en/about-us/esg/esg-governance/stakeholder-engagement/policy-review.html,OK,Indexable,Policy review | EDC
https://www.edc.ca/en/about-us/esg/esg-metrics.html,OK,Indexable,ESG metrics | EDC
https://www.edc.ca/en/about-us/esg/risk-management.html,OK,Indexable,Risk management | EDC
https://www.edc.ca/en/about-us/esg/social.html,OK,Indexable,Social impact | EDC
https://www.edc.ca/en/about-us/esg/social/human-rights.html,OK,Indexable,Human rights | EDC
https://www.edc.ca/en/about-us/esg/social/inclusion-diversity-and-equity.html,OK,Indexable,"Inclusion, diversity and equity | EDC"
https://www.edc.ca/en/about-us/esg/social/inclusive-trade.html,OK,Indexable,Inclusive trade | EDC
https://www.edc.ca/en/about-us/esg/social/our-communities.html,OK,Indexable,Our communities | EDC
https://www.edc.ca/en/about-us/esg/sustainable-finance.html,OK,Indexable,Sustainable finance | EDC
https://www.edc.ca/en/about-us/investors.html,OK,Indexable,Investor relations | EDC
https://www.edc.ca/en/about-us/investors/access-denied.html,OK,Indexable,Restrictions on Access | Export Development Canada
https://www.edc.ca/en/about-us/investors/debt-issuance-programmes.html,OK,Non-Indexable,Debt Issuance Programmes | EDC
https://www.edc.ca/en/about-us/investors/restrictions-on-access.html,OK,Indexable,Investor relations | EDC
https://www.edc.ca/en/about-us/investors/risk-weighting.html,OK,Indexable,Risk and Risk Weighting | EDC
https://www.edc.ca/en/about-us/investors/sustainable-bonds.html,OK,Indexable,Sustainable Bonds | EDC
https://www.edc.ca/en/about-us/news.html,OK,Indexable,Newsroom | EDC
https://www.edc.ca/en/about-us/news/2015-year-end-results.html,OK,Indexable,Canadian exporters and investors working hard to maintain international business amid slowing global economy: EDC 2015 corporate results | EDC
